time,dP_pu
1710.388358,0.01316879737601756
1710.5886,0.01295461741485991
1710.788816,0.013027703797632689
1710.989055,0.013478500337013526
1711.189289,0.013561123930174602
1711.389507,0.013373961670089264
1711.589746,0.013385199756247263
1711.789979,0.013438398638095162
1711.990203,0.013428158223254284
1712.190432,0.013342736462375597
1712.390671,0.013401789521291334
1712.590887,0.01343786097969078
1712.791122,0.013331476401078459
1712.991366,0.013422706923737414
1713.191584,0.01353637259845261
1713.391837,0.013724353798723365
1713.592067,0.01387825595321035
1713.792299,0.01403572980031279
1713.99254,0.014103296028132732
1714.192765,0.014213507210974571
1714.392998,0.014217131643923978
1714.593236,0.014231359814014766
1714.793455,0.01415586495599185
1714.993693,0.009245029336265405
1715.193906,0.00557116550887189
1715.394134,0.002907422647423485
1715.594359,0.00024067065692170276
1715.794592,-0.0023901373309876766
1715.994824,-9.77508809162915e-05
1716.195042,0.000915468579648058
1716.395271,0.0008382743108647103
1716.595496,0.0006027359794688386
1716.79573,0.0004955295306525541
1716.995961,0.00037904224807132434
1717.196176,0.00038816486083442987
1717.396412,0.0002754016318333855
1717.596628,0.0002519102080889729
1717.79686,0.0003906070312979197
1717.997091,0.0003795725814293147
1718.197314,0.0002886160155050303
1718.397537,0.00019256561232726285
1718.597786,0.0002759099900522462
1718.798002,0.00029403654982709045
1718.998227,0.0003319172946826883
1719.198474,-2.631263357926831e-05
1719.398706,0.00012170897367290406
1719.598942,0.002714226014129345
1719.799172,0.00536419925339042
1719.999403,0.008053887429120929
1720.199641,0.011247988553723911
1720.399873,0.013328290005902648
1720.600103,0.013456958840615771
1720.800337,0.013286242774665445
1721.000575,0.01311018381988469
1721.20081,0.013134439978471303
1721.401044,0.01360733471777486
1721.601274,0.01360109963829521
1721.801515,0.013491262032818804
1722.001744,0.013432877018133027
1722.201969,0.013426054469933613
1722.402208,0.013405213247969897
1722.602435,0.013428045417540006
1722.802662,0.013430301531825416
1723.002899,0.013411697379026507
1723.203116,0.013330736571393964
1723.403353,0.013241858853632646
1723.603592,0.013284449603311333
1723.803809,0.013531938015373456
1724.004052,0.013694129192345372
1724.204293,0.013875977863785803
1724.404518,0.014206016618545184
1724.604741,0.014259348816237222
1724.804962,0.014238867986555468
1725.005197,0.014216632075760781
1725.205435,0.014184831119401562
1725.405667,0.012171720852668037
1725.605903,0.0034239395029362013
1725.806131,-0.0008032011927293055
1726.006358,-0.0034515805018978376
1726.206592,-0.0063079867332638375
1726.406821,-0.007614622646700259
1726.607058,-0.0011557835102313863
1726.807279,0.000663051876380686
1727.007517,0.0008172206625559491
1727.207739,0.0010308805454205402
1727.40798,0.0010759618108688257
1727.608202,0.00106932531884748
1727.80843,0.0009703976374511969
1728.008667,0.001035323918555352
1728.208895,0.0010479229983309702
1728.409117,0.0009239011730420712
1728.60938,0.0008426107383223669
1728.809579,0.0009053351104843525
1729.009803,0.0008942376652168723
1729.210041,0.0008228228580282721
1729.410257,0.0007064688912911762
1729.610487,0.0003356809035133363
1729.810732,-0.0003250397450776854
1730.010966,-0.0006569156214694703
1730.211198,0.0016213261640398678
1730.411437,0.004445509516375093
1730.611676,0.007505839178955824
1730.811904,0.01090491268141532
1731.01214,0.0133644845250813
1731.212373,0.013495829931742103
1731.412601,0.013343301955956233
1731.612839,0.013260026433667235
1731.813068,0.013258228867285294
1732.013297,0.013529078317266243
1732.213536,0.01350592091563681
1732.413762,0.013453696264957602
1732.613992,0.013343899679740926
1732.814231,0.013311481954476418
1733.014465,0.013315304163678113
1733.21469,0.013449522453529613
1733.414927,0.013499017791927187
1733.615155,0.013426470532568052
1733.815375,0.013319328544159927
1734.015614,0.013391490506079405
1734.215845,0.013434514898503867
1734.416084,0.013499694626212803
1734.61631,0.013664102362219665
1734.816536,0.013955892654795118
1735.016777,0.014142474771207062
1735.217017,0.014219006855797559
1735.417231,0.014373739670544165
1735.617455,0.014211492823219748
1735.817694,0.01414729758174443
1736.017926,0.012291437015694085
1736.218161,0.0070785369933379656
1736.418375,0.0043178368879698125
1736.618615,0.0019278925401754218
1736.818846,-0.0008407171502751154
1737.019078,-0.0026633820711352667
1737.21931,0.00046979224768767106
1737.419527,0.0004956027811163684
1737.619757,0.00035190881126618596
1737.819987,0.00027998711086800807
1738.020214,0.0003190911384692543
1738.220446,0.00040002704094410993
1738.420663,0.0003943911502584353
1738.620912,0.0002617140501655355
1738.821147,0.0002690215164353891
1739.021364,0.0003165757175419608
1739.221586,0.0004285229363761417
1739.42181,0.00037640669638338095
1739.622049,0.0004529988463541862
1739.822282,0.0005747381871907285
1740.022514,0.0007459377062022103
1740.222755,0.0005528157883811468
1740.422991,0.00032279761193812777
1740.623221,0.0017782081473947163
1740.823445,0.004478000492103417
1741.023682,0.007242824598584167
1741.223917,0.010120296198333137
1741.424156,0.012691211677011495
1741.624391,0.013542903609806076
1741.824618,0.013337228027496957
1742.024854,0.013121542036803336
1742.225085,0.013085369492763834
1742.425305,0.013237542936304855
1742.625557,0.013517120911553618
1742.825791,0.013469267848554699
1743.026024,0.013393507823852787
1743.226259,0.013365385505786188
1743.42649,0.013406969794092102
1743.626726,0.013392409066895605
1743.826956,0.013340957941114251
1744.027172,0.013397779790902285
1744.22741,0.013335008538443464
1744.427644,0.013372382390089484
1744.627859,0.013457385158315162
1744.828105,0.01360718675183796
1745.028337,0.01378292926461505
1745.228588,0.013888875805453779
1745.428835,0.014082845963645773
1745.629082,0.014263824419576122
1745.829313,0.014355340619043944
1746.029554,0.014341342455409512
1746.229806,0.014326830073519141
1746.430047,0.014186624290755673
1746.630294,0.008297796823521211
1746.830539,0.005316565941782923
1747.030788,0.002904958501820865
1747.231023,0.00014986059192502595
1747.431263,-0.002275304043879314
1747.631517,0.0008155813171758388
1747.831761,0.001147030875868233
1748.032,0.0011707508410597443
1748.232245,0.001215420438901417
1748.432493,0.0011633466841776637
1748.632737,0.0011709837775346708
1748.832968,0.001096570096357612
1749.033217,0.0009718992719593351
1749.233449,0.0011002780348357685
1749.433686,0.0010131290280204017
1749.633939,0.0009996846378923965
1749.834181,0.0007817483929504792
1750.034429,0.0007460929971854842
1750.234661,0.0006001399830313578
1750.434909,0.0004745183676128005
1750.635139,0.0003303218995808684
1750.835393,-4.4737402984396706e-06
1751.035643,0.0008321359219972966
1751.235875,0.003822410305997765
1751.436127,0.006678608506046544
1751.636371,0.009568460899188972
1751.836601,0.012433100482687401
1752.036847,0.013661103488231217
1752.237093,0.013409239093460985
1752.437332,0.013236571635154718
1752.637581,0.01321589595923922
1752.837827,0.01333052561005819
1753.038067,0.013542106644759796
1753.238315,0.013510733471109239
1753.438569,0.013505416952445776
1753.638809,0.013355351657253255
1753.839054,0.013453658174716424
1754.039302,0.013496182998977676
1754.239532,0.013478178034972758
1754.439784,0.01341664325034308
1754.640026,0.013482622873116853
1754.840271,0.013300509034997415
1755.040515,0.013347653033506646
1755.240754,0.013495006596528856
1755.441009,0.013705119691935684
1755.641245,0.013776855336155781
1755.84149,0.013969608071639229
1756.041724,0.014273141878572974
1756.241969,0.014271149465957299
1756.442216,0.014190487520217104
1756.642457,0.014292855043393981
1756.842688,0.01418287972704561
1757.042952,0.008739226093589795
1757.24319,0.0057311225466975466
1757.443435,0.0029326750123179405
1757.643664,0.00030318406774790203
1757.8439,-0.002380777386721816
1758.044156,-0.0003404443176172985
1758.244389,0.0003788342167540934
1758.44464,0.00044211675745032045
1758.644874,0.0004927035277587023
1758.84511,0.0004172159947821683
1759.045373,0.0003622810769419289
1759.24561,0.0004380953069870607
1759.445852,0.0004599415253142625
1759.646084,0.0004038346000530382
1759.846337,0.00033945183739035747
1760.046576,0.0005269261444515349
1760.246821,0.0005960452821042736
1760.44706,0.0006598435060657343
1760.647294,0.0006265790054395551
1760.847535,0.0008302988003648942
1761.047777,0.0008351421210321282
1761.248002,0.000463697809098527
1761.448239,0.0005228460936172176
1761.64847,0.0033364227787925018
1761.848701,0.006155764275469766
1762.048936,0.00885609281357358
1762.249151,0.011704409263716202
1762.44939,0.013697749230266945
1762.649627,0.013380245094875034
1762.849855,0.013308362949727308
1763.050076,0.01324213134535802
1763.250297,0.013283400656669551
1763.450527,0.01352914131266513
1763.650765,0.013532995752070892
1763.850999,0.013334971913211558
1764.051227,0.013270435324574873
1764.251454,0.013150684001326192
1764.451691,0.013392674233574601
1764.65192,0.013331230279520056
1764.85214,0.013352815726196093
1765.052375,0.01335806924946067
1765.252603,0.013297951128801114
1765.452837,0.013275324060529673
1765.653051,0.013398336494427253
1765.853291,0.013676631121550025
1766.053508,0.013746013960872498
1766.253731,0.013948163265853703
1766.453952,0.014102014145016025
1766.654184,0.014151125650983238
1766.854422,0.014170956016546336
1767.054649,0.014198017667896943
1767.254887,0.014195641422850897
1767.455119,0.011191625251839338
1767.655336,0.007035708912156522
1767.855581,0.00440519392610239
1768.055811,0.001844222930391113
1768.256051,-0.0007425966889900399
1768.456284,-0.0011674830743113882
1768.656514,0.001057354728051372
1768.856748,0.0010182697455707102
1769.056966,0.0010572272722443386
1769.257191,0.0010720136108693698
1769.457432,0.0010725791044499948
1769.657664,0.0011009841693069107
1769.857895,0.0011136081542402246
1770.058114,0.0009975530493954753
1770.258351,0.0010091383427519383
1770.458567,0.0009000845172383229
1770.658806,0.0007380691413795494
1770.859045,0.0004260851609404903
1771.059289,0.00043448991915824207
1771.259535,0.00041008432962545623
1771.459781,0.00032229804377493354
1771.660028,-3.4976698438925136e-05
1771.860263,-8.635310874719199e-05
1772.060486,0.0021008705804482592
1772.26072,0.004840560987785929
1772.460953,0.007655979189621435
1772.661182,0.010741887914165218
1772.861429,0.013220775905138359
1773.061675,0.01341349348039917
1773.261914,0.013223928605100809
